TITLE = 'Cavity Iterative Residual History'
variables='Iteration''Time(s)''Res1''Res2''Res3'
820 0.22521972656250003 [196.07367528] [1.0217943] [1.37480816]
830 0.22796630859375003 [196.03287433] [0.9793891] [1.54529287]
840 0.23071289062500003 [196.43233005] [0.93372] [1.3204648]
850 0.23345947265625003 [197.01761918] [0.87237187] [1.07625456]
860 0.23620605468750003 [197.80113541] [0.79467233] [1.20298333]
870 0.23895263671875003 [198.69987124] [0.80258157] [1.46516455]
880 0.24169921875000003 [198.60622899] [0.66226422] [1.05656555]
890 0.24444580078125003 [198.54925988] [0.60683127] [0.99073032]
900 0.24719238281250003 [198.30122168] [0.59622296] [1.32737535]
910 0.24993896484375003 [198.61993842] [0.50772245] [1.3880923]
920 0.25268554687500006 [199.23501358] [0.49779577] [1.17335533]
930 0.25543212890625006 [200.01069769] [0.44945539] [1.2493621]
940 0.25817871093750006 [201.07331379] [0.51255629] [1.54393445]
950 0.26092529296875006 [201.351094] [0.48151548] [1.44790962]
960 0.26367187500000006 [201.41714322] [0.4895158] [1.27325741]
970 0.26641845703125006 [201.16022726] [0.54421903] [1.40854044]
980 0.26916503906250006 [201.23490549] [0.48980734] [1.61345776]
990 0.27191162109375006 [201.68041325] [0.49163353] [1.41518028]
1000 0.27465820312500006 [202.27885148] [0.46321344] [1.30035016]
1010 0.27740478515625006 [203.08638253] [0.46141355] [1.48184311]
1020 0.28015136718750006 [203.74729539] [0.54671495] [1.63705397]
1030 0.28289794921875006 [203.64381094] [0.49330352] [1.2809011]
1040 0.28564453125000006 [203.43719147] [0.53042411] [1.23791283]
1050 0.28839111328125006 [203.17644947] [0.56054383] [1.49003872]
1060 0.29113769531250006 [203.40376506] [0.53420445] [1.38400983]
1070 0.29388427734375006 [203.83954761] [0.54120176] [1.08844293]
1080 0.29663085937500006 [204.42324899] [0.5084944] [1.13162032]
1090 0.29937744140625006 [205.2982517] [0.59534685] [1.39470735]
1100 0.30212402343750006 [205.09337913] [0.53119961] [1.06168399]
1110 0.30487060546875006 [204.91112006] [0.54626191] [0.82339811]
1120 0.30761718750000006 [204.3085586] [0.60346123] [1.04792918]
1130 0.31036376953125006 [204.16596818] [0.5425208] [1.18488417]
1140 0.31311035156250006 [204.3251792] [0.54498896] [0.80547194]
1150 0.31585693359375006 [204.61873122] [0.49498644] [0.66693368]
1160 0.31860351562500006 [205.13707037] [0.49466225] [1.00988195]
1170 0.32135009765625006 [205.23399404] [0.5021455] [1.06386857]
1180 0.32409667968750006 [204.79006127] [0.4579553] [0.55472494]
1190 0.32684326171875006 [204.13543207] [0.48706191] [0.64592218]
1200 0.32958984375000006 [203.59033831] [0.45792619] [1.09157569]
1210 0.33233642578125006 [203.47989284] [0.42433445] [0.88971262]
1220 0.33508300781250006 [203.55237544] [0.39418804] [0.56458987]
1230 0.33782958984375006 [203.8097059] [0.338613] [0.84540213]
1240 0.34057617187500006 [204.24784351] [0.48740432] [1.25693754]
1250 0.34332275390625006 [203.63109803] [0.34464917] [0.77331793]
1260 0.34606933593750006 [203.06938554] [0.36591432] [0.65261819]
1270 0.34881591796875006 [202.24433854] [0.44777957] [1.06422712]
1280 0.35156250000000006 [201.93884781] [0.38271859] [1.13634683]
1290 0.35430908203125006 [201.92344451] [0.40535196] [0.78055688]
1300 0.35705566406250006 [202.08221387] [0.3573486] [0.79641488]
1310 0.35980224609375006 [202.53943711] [0.42632266] [1.15781992]
1320 0.36254882812500006 [202.31358745] [0.40665547] [1.0332193]
1330 0.36529541015625006 [201.82753054] [0.41992458] [0.68051659]
1340 0.36804199218750006 [201.06457807] [0.49166969] [0.85092926]
